phi : 60.961537  x : 7.500049  y : 0.601310  deg : 32.241374
phi : -25.472852  x : 7.154169  y : 0.044491  deg : 121.988974
phi : 13.576080  x : 7.301702  y : 0.031323  deg : 128.431666
phi : 4.387503  x : 7.532000  y : 0.000000  deg : 179.500000
phi : -15.764204  x : 7.524000  y : 0.000000  deg : 179.749999
phi : 20.764204  x : 8.000000  y : 0.000000  deg : -nan
phi : 11.804246  x : 7.492000  y : 0.000000  deg : 179.250000
phi : 17.088709  x : 7.497000  y : 0.000000  deg : nan
phi : 21.446837  x : 7.540000  y : 0.000000  deg : 179.999999
phi : -4.557543  x : 7.547000  y : 0.000000  deg : 179.749999
phi : -9.870508  x : 7.537000  y : 0.000000  deg : nan
phi : 5.106821  x : 8.000000  y : 0.000000  deg : -nan
phi : 21.620105  x : 7.536000  y : 0.000000  deg : 179.999999
phi : 27.331573  x : 7.538000  y : 0.000000  deg : nan
phi : 6.752224  x : 8.000000  y : 0.000000  deg : -nan
phi : -9.852551  x : 7.552000  y : 0.000000  deg : 179.999999
phi : -4.309452  x : 8.000000  y : 0.000000  deg : -nan
phi : 8.247472  x : 8.000000  y : 0.000000  deg : -nan
phi : 14.919260  x : 8.000000  y : 0.000000  deg : -nan
phi : 37.885196  x : 8.000000  y : 0.000000  deg : -nan
phi : 21.098427  x : 8.000000  y : 0.000000  deg : -nan
phi : 64.345211  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.697633  x : 8.000000  y : 0.000000  deg : -nan
phi : 61.674873  x : 8.000000  y : 0.000000  deg : -nan
phi : 58.049529  x : 8.000000  y : 0.000000  deg : -nan
phi : 47.582864  x : 8.000000  y : 0.000000  deg : -nan
phi : 29.927261  x : 8.000000  y : 0.000000  deg : -nan
phi : 48.306280  x : 8.000000  y : 0.000000  deg : -nan
phi : 42.460354  x : 8.000000  y : 0.000000  deg : -nan
phi : 52.600186  x : 8.000000  y : 0.000000  deg : -nan
phi : 57.715109  x : 8.000000  y : 0.000000  deg : -nan
phi : 62.333803  x : 8.000000  y : 0.000000  deg : -nan
phi : 50.060025  x : 8.000000  y : 0.000000  deg : -nan
phi : 52.302128  x : 8.000000  y : 0.000000  deg : -nan
phi : 51.379472  x : 8.000000  y : 0.000000  deg : -nan
phi : 48.690957  x : 8.000000  y : 0.000000  deg : -nan
phi : 61.964360  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.719963  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.704289  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.649559  x : 8.000000  y : 0.000000  deg : -nan
phi : 84.624299  x : 7.575000  y : 0.000000  deg : 179.499998
phi : 84.624776  x : 8.000000  y : 0.000000  deg : -nan
phi : 55.320615  x : 8.000000  y : 0.000000  deg : -nan
