phi : 30.568366  x : 0.524024  y : 0.018986  deg : -0.145509
phi : 31.088017  x : 7.947086  y : 0.003020  deg : 148.733396
phi : 31.479865  x : 7.948065  y : 0.002598  deg : 152.635706
phi : 32.673549  x : 7.930075  y : 0.003238  deg : 154.848731
phi : 29.755988  x : 7.938074  y : 0.003028  deg : 153.450960
phi : 30.998713  x : 7.946085  y : 0.003020  deg : 149.293814
phi : 32.276928  x : 0.518019  y : 0.016661  deg : -0.127589
phi : 32.106386  x : 7.934075  y : 0.003143  deg : 154.020773
phi : 32.582120  x : 7.944085  y : 0.003086  deg : 149.841225
phi : 33.849368  x : 0.518021  y : 0.017800  deg : -0.136310
phi : 32.517830  x : 7.946088  y : 0.003086  deg : 148.473569
phi : 30.839238  x : 7.941081  y : 0.003089  deg : 151.249157
phi : 28.030301  x : 7.952096  y : 0.003038  deg : 144.871460
phi : 30.894137  x : 7.945072  y : 0.002821  deg : 151.809729
phi : 30.707413  x : 7.946076  y : 0.002873  deg : 150.950006
phi : 33.092915  x : 7.944069  y : 0.002784  deg : 152.650575
phi : 31.321469  x : 7.938072  y : 0.002986  deg : 153.989639
phi : 20.871419  x : 0.513022  y : 0.018234  deg : -0.139540
phi : 20.214511  x : 7.945082  y : 0.002997  deg : 150.376296
phi : 17.387517  x : 7.957085  y : 0.002696  deg : 145.154811
phi : 11.673057  x : 7.945078  y : 0.002922  deg : 150.704445
phi : 12.326029  x : 7.947091  y : 0.003104  deg : 148.142194
phi : 20.602690  x : 0.519032  y : 0.021891  deg : -0.167663
phi : 1.718463  x : 7.945087  y : 0.003092  deg : 149.026963
phi : 23.142729  x : 7.935061  y : 0.002807  deg : 156.775244
phi : 21.453999  x : 7.955085  y : 0.002758  deg : 145.986412
phi : 18.736362  x : 7.918070  y : 0.003394  deg : 157.628169
phi : 20.658544  x : 7.944085  y : 0.003079  deg : 149.847738
phi : 12.957301  x : 7.945081  y : 0.002985  deg : 150.389098
phi : 24.011053  x : 7.946091  y : 0.003133  deg : 147.923873
phi : 21.149527  x : 0.518024  y : 0.019107  deg : -0.146320
phi : 21.684536  x : 7.938078  y : 0.003116  deg : 152.869002
phi : 23.716786  x : 7.953074  y : 0.002642  deg : 149.277253
phi : 11.715527  x : 7.944084  y : 0.003061  deg : 150.366695
phi : 25.679085  x : 0.529023  y : 0.018441  deg : -0.141424
phi : 26.893901  x : 0.522024  y : 0.019097  deg : -0.146320
phi : 29.858558  x : 7.953083  y : 0.002791  deg : 147.595247
phi : 28.155380  x : 0.521020  y : 0.017187  deg : -0.131671
phi : 28.775447  x : 7.947069  y : 0.002710  deg : 152.319257
phi : 29.197321  x : 7.944073  y : 0.002863  deg : 152.319257
phi : 29.156742  x : 7.868007  y : -0.001367  deg : 167.656671
phi : 27.772485  x : 7.941087  y : 0.003210  deg : 150.131246
phi : 19.084541  x : 7.944091  y : 0.003191  deg : 148.483755
phi : 24.723770  x : 0.513019  y : 0.016802  deg : -0.128580
phi : 27.746155  x : 7.931072  y : 0.003142  deg : 155.140278
phi : 30.928931  x : 0.518022  y : 0.018344  deg : -0.140474
phi : 30.184067  x : 7.949089  y : 0.003004  deg : 147.623074
phi : 30.358521  x : 7.935082  y : 0.003257  deg : 152.877838
phi : 26.256824  x : 0.521031  y : 0.021493  deg : -0.164654
phi : 22.216691  x : 7.946081  y : 0.002954  deg : 149.864020
phi : 31.985217  x : 7.937077  y : 0.003117  deg : 153.164458
phi : 22.800485  x : 7.943074  y : 0.002896  deg : 152.337271
phi : 26.618368  x : 0.511022  y : 0.018263  deg : -0.139723
phi : 23.592996  x : 7.935078  y : 0.003174  deg : 153.450960
phi : 29.810620  x : 7.948079  y : 0.002864  deg : 150.092505
phi : 27.301703  x : 7.942064  y : 0.002734  deg : 154.298538
phi : 30.582227  x : 7.945078  y : 0.002922  deg : 150.704445
phi : 30.846203  x : 7.946077  y : 0.002891  deg : 150.931142
phi : 23.818364  x : 7.940078  y : 0.003055  deg : 152.331266
phi : 30.184067  x : 7.945074  y : 0.002845  deg : 151.785256
phi : 29.762808  x : 7.920064  y : 0.003208  deg : 158.451902
phi : 25.177627  x : 7.948079  y : 0.002873  deg : 150.082819
phi : 28.911847  x : 7.929071  y : 0.003183  deg : 155.680142
